NAMA,T,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,class
A20213,60,NEW,PEREMPUAN,40,MENIKAH,2,Milik Sendiri,SMA,Medan,Pegawai swasta,18,3019917,0.313541068,60,27000000,LANCAR,1
A104852,48,NEW,LAKI LAKI,44,MENIKAH,4,Milik Sendiri,SMP,Balikpapan,Pegawai swasta,6,3565880,0.333924305,48,40000000,LANCAR,1
A171454,36,NEW,LAKI LAKI,30,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Bandung,Pegawai swasta,1,2254191,0.56718397,36,25000000,LANCAR,1
A218482,48,NEW,LAKI LAKI,45,MENIKAH,3,Rumah Dinas,S1,Surabaya,Pegawai swasta,14,4658883,0.319479583,48,50000000,LANCAR,1
A258220,48,NEW,PEREMPUAN,31,TIDAK MENIKAH,0,Milik Orang Tua,S1,Bandung,Pegawai swasta,3,2685900,0.554159872,48,50000000,MACET,0
A119855,48,NEW,LAKI LAKI,51,MENIKAH,4,Milik Sendiri,SMA,Balikpapan,Pegawai BUMN,24,10898550,0.320567874,48,120000000,LANCAR,1
A172562,48,NEW,PEREMPUAN,36,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,9,3291174,0.090449183,48,9000000,LANCAR,1
A242407,78,NEW,LAKI LAKI,50,MENIKAH,0,Milik Orang Tua,S1,Denpasar,Pegawai BUMN,25,8508600,0.226777261,78,100000000,LANCAR,1
A256240,24,NEW,LAKI LAKI,53,MENIKAH,4,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,2,6948878,0.271087361,24,30000000,MACET,0
A183621,36,NEW,LAKI LAKI,29,MENIKAH,1,Milik Orang Tua,S1,Bandung,Pegawai BUMN,4,3924791,0.091475189,36,10000000,LANCAR,1
A180985,24,NEW,LAKI LAKI,45,MENIKAH,2,Milik Sendiri,DIPLOMA,Bandung,PNS,8,6076644,0.199968601,24,25000000,LANCAR,1
A249013,96,NEW,LAKI LAKI,40,MENIKAH,3,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,16,6168046.667,0.6,96,69000000,MACET,0
A271211,96,NEW,LAKI LAKI,42,MENIKAH,3,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,12,3374799,0.575477532,96,75000000,LANCAR,1
A91492,36,NEW,PEREMPUAN,28,TIDAK MENIKAH,0,Sewa,DIPLOMA,Jakarta 4,Pegawai swasta,5,3991587,0.457584164,36,50000000,LANCAR,1
A276657,12,TOP,LAKI LAKI,33,TIDAK MENIKAH,0,Milik Orang Tua,S1,Medan,Pegawai swasta,7,3718506,0.542701289,96,111000000,LANCAR,1
A254383,24,NEW,LAKI LAKI,34,MENIKAH,1,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,2,3961877,0.194550462,24,15000000,MACET,0
A31132,36,NEW,LAKI LAKI,56,MENIKAH,3,Rumah Dinas,S1,Palembang,PNS,10,6582045,0.6,36,105000000,LANCAR,1
A42846,96,NEW,PEREMPUAN,45,MENIKAH,0,Milik Orang Tua,S2/S3,Palembang,PNS,15,45934392,0.189090366,96,500000000,LANCAR,1
A96464,36,NEW,LAKI LAKI,32,MENIKAH,3,Milik Orang Tua,DIPLOMA,Jakarta 4,Pegawai swasta,11,6000000,0.3652975,36,60000000,LANCAR,1
A68927,24,NEW,LAKI LAKI,54,MENIKAH,3,Milik Sendiri,DIPLOMA,Jakarta 3,Pegawai swasta,8,8605325,0.417207601,24,100000000,LANCAR,1
A254184,24,NEW,LAKI LAKI,28,MENIKAH,2,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,1,2572695,0.299602168,24,10000000,MACET,0
A326646,14,TOP,LAKI LAKI,40,MENIKAH,3,Milik Sendiri,SD,Balikpapan,Pegawai swasta,3,4372690,0.340279096,42,37000000,LANCAR,1
A256550,24,NEW,LAKI LAKI,35,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,2,4679362,0.38434684,24,25000000,MACET,0
A249421,96,NEW,LAKI LAKI,43,MENIKAH,0,Milik Sendiri,DIPLOMA,Bandung,Pegawai swasta,3,3236868.333,0.6,96,75000000,MACET,0
A219602,24,NEW,LAKI LAKI,23,TIDAK MENIKAH,0,Milik Sendiri,DIPLOMA,Surabaya,Pegawai swasta,1,2714812,0.357200793,24,20000000,LANCAR,1
A293172,11,TOP,LAKI LAKI,25,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,3,3886518,0.476111007,96,100000000,LANCAR,1
A37059,60,NEW,LAKI LAKI,52,MENIKAH,2,Rumah Dinas,SMA,Palembang,Pegawai swasta,8,4453030,0.282080067,60,50000000,LANCAR,1
A101387,36,NEW,LAKI LAKI,35,MENIKAH,3,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,6,5958272,0.306546428,36,50000000,LANCAR,1
A270881,60,NEW,PEREMPUAN,26,TIDAK MENIKAH,0,Sewa,SMA,Medan,Pegawai swasta,2,4101822,0.329772477,60,36000000,LANCAR,1
A284650,12,TOP,PEREMPUAN,36,MENIKAH,0,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,14,3041710,0.480384389,36,54000000,LANCAR,1
A44507,12,NEW,LAKI LAKI,31,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,4,4601865,0.6,12,20000000,LANCAR,1
A230147,96,NEW,LAKI LAKI,36,MENIKAH,2,Milik Orang Tua,SMA,Makassar,Pegawai BUMN,4,10509010,0.352626651,96,200000000,LANCAR,1
A275358,12,TOP,LAKI LAKI,41,MENIKAH,4,Rumah Dinas,SMA,Medan,Pegawai swasta,4,3218388,0.468247769,36,34000000,LANCAR,1
A158698,60,NEW,PEREMPUAN,44,MENIKAH,2,Milik Sendiri,S1,Jakarta 5,Pegawai BUMN,24,3691128,0.524294741,60,71000000,LANCAR,1
A45357,96,NEW,LAKI LAKI,31,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,6,5657192,0.274641023,96,80000000,LANCAR,1
A276480,10,TOP,LAKI LAKI,57,MENIKAH,1,Milik Sendiri,S1,Medan,Pegawai swasta,30,13774158,0.599811836,36,450500000,LANCAR,1
A255208,48,NEW,LAKI LAKI,36,TIDAK MENIKAH,0,Milik Orang Tua,S1,Balikpapan,Pegawai swasta,9,2545523,0.467775777,48,40000000,MACET,0
A251066,24,NEW,LAKI LAKI,35,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,2,4053391,0.47847987,24,33000000,MACET,0
A258170,60,NEW,LAKI LAKI,46,MENIKAH,3,Milik Sendiri,SMA,Bandung,Pegawai swasta,5,3234947,0.398819208,60,50000000,MACET,0
A46391,24,NEW,PEREMPUAN,28,MENIKAH,1,Milik Orang Tua,DIPLOMA,Jakarta 3,Pegawai swasta,2,2608660,0.322243604,24,10000000,LANCAR,1
A301844,12,TOP,PEREMPUAN,34,MENIKAH,1,Milik Sendiri,DIPLOMA,Jakarta 5,Pegawai swasta,5,6723965,0.429137272,72,173100000,LANCAR,1
A85676,24,NEW,PEREMPUAN,57,CERAI,2,Sewa,SMA,Jakarta 4,Pegawai BUMN,13,3534569,0.411535041,24,30000000,LANCAR,1
