NAMA DEBITUR,EVENT TIME,STATUS UPSELLING,JENIS KELAMIN,USIA,STATUS PERNIKAHAN,JUMLAH TANGGUNGAN,STATUS TEMPAT TINGGAL,PENDIDIKAN,WILAYAH,JENIS PEKERJAAN,LAMA BEKERJA, PENGHASILAN ,DBR,JK WAKTU KREDIT/ BLN,LIMIT KREDIT,KUALITAS KREDIT
A199400,36,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Surabaya,Pegawai swasta,4,2167067,35%,36,15000000,LANCAR
A40102,48,NEW,LAKI LAKI,40,MENIKAH,3,Milik Sendiri,S1,Palembang,Pegawai BUMN,1,7798000,39%,48,105000000,LANCAR
A317315,27,TOP,LAKI LAKI,26,TIDAK MENIKAH,0,Sewa,SMA,Surabaya,Pegawai swasta,3,3771100,26%,24,33500000,LANCAR
A47061,36,NEW,LAKI LAKI,52,MENIKAH,3,Milik Sendiri,SMP,Jakarta 3,Pegawai swasta,8,2784000,52%,36,19000000,LANCAR
A201839,12,NEW,PEREMPUAN,38,MENIKAH,1,Milik Sendiri,S1,Surabaya,Pegawai swasta,5,4650867,30%,12,15000000,LANCAR
A190156,48,NEW,LAKI LAKI,47,MENIKAH,3,Rumah Dinas,DIPLOMA,Semarang,Pegawai BUMN,10,7378516,16%,48,40000000,LANCAR
A208989,96,NEW,LAKI LAKI,42,MENIKAH,3,Milik Sendiri,S1,Surabaya,Pegawai swasta,18,17604790,11%,96,100000000,LANCAR
A78709,24,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Sewa,SMA,Jakarta 4,Pegawai swasta,1,3034499,34%,24,17500000,LANCAR
A75423,72,NEW,LAKI LAKI,35,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,11,6000000,38%,72,100000000,LANCAR
A197843,36,NEW,LAKI LAKI,46,MENIKAH,3,Milik Orang Tua,SMA,Semarang,PNS,16,4054833,18%,36,20000000,LANCAR
A86889,48,NEW,LAKI LAKI,33,MENIKAH,2,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,11,3561477,33%,48,29000000,LANCAR
A174487,60,NEW,LAKI LAKI,27,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Bandung,Pegawai swasta,5,3100000,31%,60,16500000,LANCAR
A152229,72,NEW,LAKI LAKI,49,MENIKAH,4,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,24,9221263,37%,72,150000000,LANCAR
A79693,48,NEW,LAKI LAKI,40,MENIKAH,0,Milik Sendiri,SMA,Jakarta 4,Pegawai swasta,16,3690630,16%,48,20000000,LANCAR
A81116,120,NEW,LAKI LAKI,34,MENIKAH,1,Milik Orang Tua,DIPLOMA,Jakarta 4,Pegawai swasta,9,5000000,41%,120,115000000,LANCAR
A312028,9,TOP,LAKI LAKI,46,MENIKAH,2,Milik Sendiri,S1,Semarang,Pegawai swasta,17,4581968,41%,36,34000000,LANCAR
A28127,96,NEW,LAKI LAKI,41,MENIKAH,2,Milik Sendiri,SMA,Palembang,Pegawai BUMN,4,3249561,34%,96,55000000,LANCAR
A231977,60,NEW,LAKI LAKI,35,MENIKAH,2,Sewa,SMA,Makassar,Pegawai swasta,3,14132663,38%,60,120000000,LANCAR
A197910,12,NEW,LAKI LAKI,39,TIDAK MENIKAH,0,Milik Orang Tua,S1,Semarang,Pegawai swasta,7,2949786,31%,12,10000000,LANCAR
A65555,60,NEW,LAKI LAKI,23,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Jakarta 3,Pegawai swasta,1,2976000,43%,60,46000000,LANCAR
A44872,48,NEW,LAKI LAKI,31,MENIKAH,1,Milik Sendiri,SMA,Jakarta 3,Pegawai swasta,6,4200000,39%,48,55000000,LANCAR
A36780,60,NEW,LAKI LAKI,49,MENIKAH,2,Milik Sendiri,S1,Palembang,Pegawai swasta,6,32424077,30%,60,400000000,LANCAR
A160301,60,NEW,PEREMPUAN,36,MENIKAH,2,Milik Sendiri,S1,Jakarta 5,Pegawai swasta,6,5899551,28%,60,65000000,LANCAR
A28635,96,NEW,PEREMPUAN,43,MENIKAH,1,Milik Sendiri,SMA,Palembang,Pegawai swasta,15,5430501,49%,96,145000000,LANCAR
A104122,36,NEW,LAKI LAKI,26,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Balikpapan,Pegawai swasta,3,3620152,35%,36,35000000,LANCAR
A89441,48,NEW,PEREMPUAN,34,MENIKAH,1,Milik Orang Tua,SMA,Jakarta 4,Pegawai swasta,15,2568175,45%,48,27000000,LANCAR
A105739,24,NEW,LAKI LAKI,31,TIDAK MENIKAH,0,Milik Orang Tua,S1,Balikpapan,Pegawai swasta,1,7422033,41%,24,50000000,LANCAR
A111913,120,NEW,LAKI LAKI,31,MENIKAH,1,Milik Orang Tua,DIPLOMA,Balikpapan,Pegawai swasta,9,6322000,56%,120,150000000,LANCAR
A6899,36,NEW,LAKI LAKI,28,TIDAK MENIKAH,0,Milik Orang Tua,SMA,Medan,Pegawai swasta,4,2565029,59%,36,20000000,LANCAR
A303996,20,TOP,LAKI LAKI,42,CERAI,0,Milik Sendiri,SMA,Jakarta 5,Pegawai swasta,18,5021200,43%,84,110000000,LANCAR
A126182,60,NEW,LAKI LAKI,25,TIDAK MENIKAH,0,Rumah Dinas,SMA,Balikpapan,Pegawai swasta,10,7212362,35%,60,100000000,LANCAR
A274597,8,TOP,PEREMPUAN,32,MENIKAH,0,Milik Sendiri,SMA,Medan,Pegawai swasta,6,5991210,36%,60,57000000,LANCAR
A255469,24,NEW,LAKI LAKI,32,MENIKAH,2,Sewa,SMA,Balikpapan,Pegawai swasta,3,7605140,27%,24,40000000,MACET
A195354,36,NEW,PEREMPUAN,27,TIDAK MENIKAH,0,Milik Orang Tua,DIPLOMA,Semarang,Pegawai swasta,3,4221512,42%,36,50000000,LANCAR
A123021,36,NEW,PEREMPUAN,25,TIDAK MENIKAH,0,Rumah Dinas,S1,Balikpapan,Pegawai swasta,1,3480130,33%,36,30000000,LANCAR
A205193,24,NEW,LAKI LAKI,35,MENIKAH,1,Milik Sendiri,SMA,Surabaya,Pegawai swasta,10,2330267,32%,24,8000000,LANCAR
A329698,31,TOP,LAKI LAKI,39,MENIKAH,3,Rumah Dinas,DIPLOMA,Surabaya,Pegawai swasta,2,3266667,35%,36,45000000,LANCAR
A12932,24,NEW,PEREMPUAN,38,MENIKAH,2,Milik Sendiri,SMA,Medan,Pegawai swasta,8,10628300,10%,24,20000000,LANCAR
A217155,72,NEW,PEREMPUAN,45,MENIKAH,2,Milik Sendiri,S1,Surabaya,Pegawai swasta,24,2628038,60%,72,35000000,LANCAR
