age,new.cust,cust.relation,income,payroll,product
63,0,A,56693.64,0,none
77,0,I,131446.83,0,none
35,0,A,75931.98,0,direct debit
58,0,A,334453.89,0,none
39,0,I,241814.67,0,e-account
45,0,A,98686.74,0,none
24,0,I,212541.24,0,none
47,0,A,175151.52,0,none
43,0,A,124068.78,0,none
70,1,A,132103.11,0,none
42,0,A,68653.23,0,none
59,0,A,319132.8,0,direct debit
22,0,I,195739.44,0,none
11,0,A,296140.5,0,none
43,0,I,55353.06,0,none
67,0,A,129340.68,0,none
22,0,I,77124.06,0,none
88,0,A,1047239.04,0,none
20,1,A,102066.54,0,none
25,0,A,52795.47,0,direct debit
33,0,I,119641.74,0,none
22,0,I,497679.27,0,none
49,1,A,220502.82,0,none
22,0,I,57049.44,0,none
27,0,I,53488.98,0,none
25,0,I,126018.45,0,none
30,0,I,167732.85,0,none
25,0,I,178596.36,0,none
39,0,A,266896.86,1,e-account
41,0,I,5340.93,0,none
44,0,A,42304.23,0,direct debit
24,0,A,161332.56,0,direct debit
46,0,A,58816.2,0,none
46,0,I,95159.52,0,none
46,0,A,97689.87,0,pension
41,0,A,36615.33,0,none
25,0,A,92292.78,0,none
62,0,I,68756.49,0,none
41,0,A,119579.73,1,direct debit
22,0,I,97858.65,0,none
56,0,A,208814.22,0,none
42,0,I,135480.27,0,none
21,0,I,70598.79,0,none
40,0,A,63329.34,0,none
60,0,I,110131.38,0,none
35,0,A,120511.92,1,direct debit
42,0,A,121839.48,0,none
23,0,I,67471.68,0,none
50,0,I,287059.32,0,none
42,0,A,192418.05,0,direct debit
40,0,A,76939.68,0,e-account
27,0,A,158406.18,0,direct debit
49,0,A,63155.04,0,none
22,0,I,42434.49,0,none
23,0,I,24478.02,0,none
26,0,I,59852.46,0,none
55,0,A,56706.39,0,none
24,0,I,48881.61,0,none
42,0,I,141784.56,0,none
53,0,A,82603.05,0,none
31,0,A,196360.95,1,direct debit
73,0,A,150066.87,0,e-account
45,0,I,75978.54,0,none
24,0,A,155967.81,1,pension
22,0,A,77564.4,0,none
42,0,A,118992.72,0,none
48,0,A,211785.75,1,direct debit
25,0,I,71709.48,0,none
41,0,I,71463.63,0,none
47,0,I,43686.03,0,none
26,0,I,109828.14,0,none
62,0,I,473997.6,0,none
45,0,A,545246.85,1,direct debit
67,0,A,77603.43,0,none
22,0,A,67411.77,0,none
32,0,I,34249.32,0,none
42,0,A,236235.39,1,pension
39,0,A,162951.42,1,pension
23,0,A,142861.92,1,none
51,0,A,254097.42,0,none
22,0,I,202764,0,none
24,0,I,77141.52,0,none
23,0,A,75236.4,0,e-account
21,0,I,61741.92,0,none
38,0,A,111986.94,0,none
35,0,A,89258.58,1,pension
30,0,A,88075.41,0,none
42,0,A,111634.26,0,none
45,0,A,401098.62,0,none
45,0,A,185544.42,0,none
25,0,I,88731.24,0,none
56,0,A,125356.62,1,direct debit
47,0,I,190799.49,0,none
55,0,A,219359.76,0,e-account
30,0,A,122717.1,0,e-account
54,0,A,209065.47,1,direct debit
23,0,A,79317.45,0,none
22,0,I,39784.95,0,none
51,0,I,91086.54,0,none
34,0,A,70190.16,0,direct debit
83,0,I,88859.4,0,none
31,0,I,298628.13,0,none
51,0,A,78010.11,0,none
43,0,I,84422.91,0,none
58,0,A,64103.97,0,none
41,0,A,119579.73,1,pension
23,0,I,74450.64,0,none
20,1,A,153391.29,0,none
64,0,I,200790.69,0,none
48,0,A,168469.8,1,direct debit
28,0,I,41863.23,0,none
51,0,I,64231.35,0,none
21,0,I,99417.69,0,none
46,0,A,53920.74,1,direct debit
23,0,I,53919.99,0,none
28,0,I,67555.92,0,none
25,0,I,52303.59,0,none
28,0,I,86401.38,0,none
42,0,A,204068.73,0,direct debit
29,0,I,33178.17,0,none
76,0,I,75285.63,0,none
32,0,A,77263.62,1,pension
85,1,A,114802.2,0,none
26,0,I,110759.19,0,none
21,0,A,203126.76,0,none
32,0,A,25354.47,1,pension
22,0,I,114245.85,0,none
45,0,A,42266.91,0,direct debit
37,0,A,62769.78,1,e-account
98,0,I,48556.29,0,none
77,0,A,85421.67,0,none
